"A: Ingredient Name","B: Common Synonyms","C: E-Number","D: Category","E: Primary Function","F: Secondary Function","G: Mechanism of Action","H: Application Categories","I: Usage Level Min %","J: Usage Level Max %","K: pH Range Min","L: pH Range Max","M: Heat Stable","N: Freeze-Thaw Stable","O: Clean Label Status","P: Clean Label Alternatives","Q: Substitution Ratio","R: Sensory Impact of Substitution","S: Processing Considerations","T: Regulatory Status Ghana FDA","U: Regulatory Status EU","V: Regulatory Status FDA USA","W: Functional Description"
"Soy Hemicellulose","Soy fiber extract","E426","STA","Suspendant","Fiber source","Builds steric stabilization network","DY, BV",0.10,2.00,3.0,8.0,"Y","Y","S-CL","Oat Fiber, Apple Fiber","1:1.8","Beany, slight grain mouthfeel","Excellent for acid milk drinks","APP","APP","APP","Soluble soy polysaccharide fiber"
"Cassia Gum","Cassia tora gum","E427","STA","Gelling aid","Thickener","Interacts synergistically with gums","DY, DS",0.10,1.00,4.0,10.0,"Y","Y","S-CL","LBG, Guar Gum, Tara Gum","1:1","Firm, rubbery gel bite","High hydration temperature required","APP","APP","APP","Galactomannan with high mannose ratio"
"Curdlan","Alcaligenes polymer","E428","STA","Thermoirreversible","Gelling agent","Form triple-helix network on heating","MT, BF",0.10,2.00,3.0,9.5,"Y","Y","S-CL","Soy Protein Isolate, Konjac Gum","1:1.5","Firm, crunchy gel bite","Forms strong gel only upon boiling","APP","APP","APP","Fermentation-derived beta-glucan"
"Pectin","Apple/Citrus extract","E440i","STA","Gel builder","Synereis control","HM sugar-acid gel; LM calcium gel","DS, DY",0.10,1.50,2.5,6.0,"Y","Y","CL","Fruit Fiber, Agar-Agar","1:1.2","Crisp fruit-like gel bite","Max level 4,000 mg/kg in infant FSMP","APP","RES","APP","Primary plant structural polymer"
"Amidated Pectin","Acid modified pectin","E440ii","STA","Thickener","Gelling agent","Forms gels at lower calcium levels","DY, DS",0.10,1.20,3.0,7.0,"Y","Y","N-CL","Citrus Fiber, Native Starch","1:1.5","Mild chemical, starchy profile","Highly stable in yogurt matrices","APP","APP","APP","Chemically modified LM-pectin salt"
"MCC","Microcrystalline cellulose","E460i","STA","Anticaking agent","Fat replacer","Colloidal physical barrier network","DY, SN",0.10,2.00,3.0,10.0,"Y","Y","S-CL","Rice Hull Ash, Potato Fiber","1:1.3","Chalky, dry powdery notes","Disperses under high-shear flow","APP","APP","APP","Purified depolymerized wood pulp"
"Powdered Cellulose","Wood pulp fiber","E460ii","STA","Anti-clumping","Fiber builder","Physically separates moisture flow","BF, SN",0.10,3.00,3.0,10.0,"Y","Y","S-CL","Rice Hull Ash, Corn Fiber","1:1.5","Dry, fibrous woody bite","Insoluble; adds fiber declarations","APP","APP","APP","Purified mechanical wood cellulose"
"Methyl Cellulose","MC","E461","STA","Thermal gelation","Emulsifier","Hydrophobic polymers clump on heat","MT, BF",0.10,1.50,3.0,11.0,"Y","Y","N-CL","Soy Protein, Konjac Gum","1:2","Firm bouncy bite, meaty feel","Gels at 50 degrees C, fluid on cool","APP","APP","APP","Thermal-reversible cellulose ether"
"Ethyl Cellulose","EC","E462","STA","Oleogel builder","Film former","Entraps oil inside polymer network","Oils",0.50,5.00,3.0,11.0,"Y","Y","N-CL","Carnauba Wax, Rice Bran Wax","1:4","Waxy mouth coating, hard fat feel","Dissolves in hot oil (>90C)","APP","APP","APP","Hydrophobic organo-soluble polymer"
"HPC","Hydroxypropyl cellulose","E463","STA","Film former","Emulsifier","Water-soluble physical barrier","BF, CF",0.10,1.50,3.5,9.0,"Y","Y","N-CL","Pullulan, Wheat Starch","1:1.8","Glazed, slightly sticky bite","Viscous clear solutions in water","APP","APP","APP","Highly etherified modified cellulose"
"HPMC","Hydroxypropyl methyl cellulose","E464","STA","Thermal gelation","Gas retainment","Viscous barrier blocks gas bubble flow","BF, MT",0.10,1.50,3.0,11.0,"Y","Y","N-CL","Psyllium Husk, Soy Protein","1:2","Bread crumb bounce, bready flavor","Gels at 65-75 degrees Celsius","APP","APP","APP","Modified cellulose baking enhancer"
"HEMC","Ethyl methyl cellulose","E465","STA","Aerating agent","Viscosity builder","Stabilizes whipped foam bubbles","DS",0.10,1.00,4.0,9.0,"M","Y","N-CL","Whey Protein Isolate, Casein","1:1.5","Milky flavor, light dairy note","Increases gas overrun and volume","APP","APP","APP","Multi-substituted cellulose ether"
"CMC","Cellulose gum","E466","STA","Thickener","Water binder","Highly anionic water-binding network","DY, BV",0.05,0.80,3.5,10.0,"Y","Y","N-CL","Xanthan Gum, Guar Gum, Citrus Fiber","1:1","Viscous drink mouthfeel","Highly stable to cold storage","APP","APP","APP","Water-soluble cellulose ether"
"Cross-linked CMC","Croscarmellose","E468","STA","Disintegrant","Flow agent","Swells rapidly to break matrices","CF",0.10,1.00,4.0,9.0,"Y","Y","N-CL","Potato Starch, Rice Fiber","1:1.5","Chalky trace, dry powdery feel","Insoluble but highly water-swellable","APP","APP","APP","Cross-linked polymer cellulose"
"Enzymic CMC","Enzymatic cellulose","E469","STA","Viscosity control","Whipping aid","Cleaved chains, lower thick viscosity","DY, DS",0.10,1.00,4.0,9.0,"M","Y","N-CL","Egg White Solids, Yeast Glycan","1:1.2","Creamy feel, trace savory taste","Low-viscosity foaming active polymer","APP","APP","APP","Enzymatically cleaved cellulose"
"Acesulfame K","Ace-K","E950","SWE","Sweetening","Taste synergist","Receptor binding sweetness (200x)","BV, DS",0.005,0.035,3.0,9.0,"Y","Y","N-CL","Stevia, Monk Fruit","1:2","Lingering bitter, metallic tail","High thermal and chemical stability","APP","APP","APP","Highly stable synthetic sweetener"
"Aspartame","Dipeptide sweet","E951","SWE","Sweetening","None","Receptor binding sweetness (200x)","BV, DY",0.005,0.060,3.0,5.0,"N","Y","N-CL","Allulose, Thaumatin","1:150","Clean sweetness, no browning","Thermally degrades above 80 C","APP","APP","APP","Heat-sensitive peptide sweetener"
"Cyclamic Acid","Cyclamate active","E952i","SWE","Sweetening","Synergist","Sweet receptor activator (30x)","BV, CF",0.010,0.250,2.0,10.0,"Y","Y","N-CL","Erythritol, Stevia","1:10","Heavy sugary sweetness, cooling","High synergy with saccharin","APP","APP","BAN","Chemical-derived sweet organic acid"
"Sodium Cyclamate","Cyclamate sodium","E952ii","SWE","Sweetening","Synergist","Sweet receptor activator (30x)","BV, CF",0.010,0.250,2.0,10.0,"Y","Y","N-CL","Stevia, Monk Fruit","1:8","Sugar-like sweet profile, chemical","Soluble in cold water systems","APP","APP","BAN","Highly soluble synthetic sweetener"
"Calcium Cyclamate","Cyclamate calcium","E952iii","SWE","Sweetening","Synergist","Sweet receptor activator (30x)","BV, CF",0.010,0.250,2.0,10.0,"Y","Y","N-CL","Stevia, Erythritol","1:8","Sweet, slight bitter chalky trace","Excellent for low-sodium products","APP","APP","BAN","Calcium salt of cyclamic acid"
"Potassium Cyclamate","Cyclamate potassium","E952iv","SWE","Sweetening","Synergist","Sweet receptor activator (30x)","BV, CF",0.010,0.250,2.0,10.0,"Y","Y","N-CL","Monk Fruit, Allulose","1:8","Sweet, slightly metallic aftertaste","Excellent for potassic diets","APP","APP","BAN","Potassium salt of cyclamic acid"
"Isomalt","Isomaltitol","E953","SWE","Bulking sweetener","Glazing agent","Low-intensity sugar bulk (0.5x)","CF, BF",2.00,50.0,3.0,10.0,"Y","Y","S-CL","Maltitol, Chicory Root Fiber","1:1","Clean, sugar-like mouth coating","Resists moisture absorption","APP","APP","APP","Hydrogenated disaccharide polyol"
"Saccharin","Acid benzosulfimide","E954i","SWE","Sweetening","None","Receptor binding sweetness (300x)","BV, CF",0.005,0.050,2.5,10.0,"Y","Y","N-CL","Stevia, Monk Fruit","1:2","Heavy bitter, metallic profile","Exceptional acid-heat stability","APP","APP","APP","Classical coal-tar derivative sweet"
"Sodium Saccharin","Saccharin sodium","E954ii","SWE","Sweetening","None","Receptor binding sweetness (300x)","BV, CF",0.005,0.050,2.5,10.0,"Y","Y","N-CL","Stevia, Thaumatin","1:1.8","Heavy bitter, sharp chemical tail","Fully soluble in aqueous matrices","APP","APP","APP","Highly soluble saccharin salt"
"Calcium Saccharin","Saccharin calcium","E954iii","SWE","Sweetening","None","Receptor binding sweetness (300x)","BV, CF",0.005,0.050,2.5,10.0,"Y","Y","N-CL","Stevia, Monk Fruit","1:1.8","Bitter metallic sweet, chalky note","Best for dietary low-sodium foods","APP","APP","APP","Calcium salt of saccharin active"
"Potassium Saccharin","Saccharin potassium","E954iv","SWE","Sweetening","None","Receptor binding sweetness (300x)","BV, CF",0.005,0.050,2.5,10.0,"Y","Y","N-CL","Monk Fruit, Thaumatin","1:1.8","Sharp metallic bitter sweet profile","Ideal for potassium supplement foods","APP","APP","APP","Potassium salt of saccharin active"
"Sucralose","Trichlorogalactose","E955","SWE","Sweetening","None","High sweetness index (600x)","BV, DY",0.002,0.030,3.0,8.0,"Y","Y","N-CL","Stevia, Thaumatin","1:2","Sugar-like sweet, light sweet lingering","Excellent for baking and hot-fill","APP","APP","APP","Highly stable chlorinated sugar"
"Thaumatin","Talin","E957","SWE","Taste modifier","Sweetening","Protein receptor activator (2000x)","BV, CF",0.0001,0.005,2.5,8.5,"M","Y","CL","Stevia, Monk Fruit","1:10","Lingering licorice-sweet note","High synergy with citric/malic acids","APP","APP","APP","Natural katemfe fruit-derived protein"
"Neohesperidine DC","NHDC","E959","SWE","Flavor modifier","Sweetening","Flavonoid receptor sweet (1500x)","BV, DS",0.0005,0.005,3.0,8.5,"Y","Y","N-CL","Thaumatin, Stevia","1:8","Intense cooling sweet, licorice","Masks bitter notes of soy/pea proteins","APP","APP","APP","Citrus-peel hydrogenated chalcone"
"Stevia Extract","Steviol glycosides","E960a","SWE","Sweetening","None","Plant-derived sweet receptor active","BV, DY",0.005,0.040,3.0,8.0,"Y","Y","S-CL","Fermentation Stevia","1:1","Bitter, metallic licorice aftertaste","Extracted from plant leaves","APP","APP","APP","Terpene glycoside leaf extract"
"Fermentation Stevia","Reb M via yeast","E960b","SWE","Sweetening","Flavor rounded","Pure Reb M receptor active (300x)","BV, DY",0.005,0.040,3.0,8.0,"Y","Y","CL","Stevia (E960a), Monk Fruit","1:1","Clean sugary sweetness, zero bitter","Yeast fermentation production","APP","APP","APP","Advanced clean steviol glycoside"
"Neotame","Modified aspartame","E961","SWE","Sweetening","Flavor enhancer","Ultra-intensity receptor active (8000x)","BV, DS",0.0001,0.003,3.0,8.0,"Y","Y","N-CL","Thaumatin, Monk Fruit","1:12","Clean sugary profile, no tail","Highly stable under baking heat","APP","APP","APP","Advanced alkylated aspartame"
"Aspartame-Ace Salt","TwinSweet","E962","SWE","Sweetening","None","Co-crystallized sweetener active","BV, DS",0.005,0.050,3.0,7.0,"M","Y","N-CL","Stevia, Monk Fruit","1:2","Sweet, trace bitter metallic note","Highly convenient combined handling","APP","APP","APP","Co-crystallized synthetic salt"
"Maltitol","Maltitol crystal","E965i","SWE","Sugar replacer","Bulk texturizer","Disaccharide sugar polyol bulk (0.9x)","CF, BF",2.00,40.0,3.0,9.0,"Y","Y","S-CL","Erythritol, Chicory Root Fiber","1:1","Clean sugary mouthfeel, sugar brix","Excellent for sugar-free chocolates","APP","APP","APP","Hydrogenated disaccharide bulk polyol"
"Maltitol Syrup","Hydrogenated glucose syrup","E965ii","SWE","Humectant","Plasticizer","Retains water, builds density brix","BF, SA",2.00,40.0,3.0,9.0,"Y","Y","S-CL","Glycerin, Agave Syrup","1:1.1","Sugary sweet, viscous thick body","High moisture retention","APP","APP","APP","Partial hydrolyzed hydrogenated syrup"
"Lactitol","Whey-derived polyol","E966","SWE","Sugar replacer","Texturizer","Lactose-derived polyol bulk (0.4x)","DY, BF",2.00,30.0,3.5,9.5,"Y","Y","S-CL","Erythritol, Inulin","1:1","Mild sweetness, milk fat mouthfeel","Excellent prebiotic profile","APP","APP","APP","Hydrogenated lactose sugar polyol"
"Xylitol","Birch wood polyol","E967","SWE","Cooling sweetener","Humectant","High endothermic heat of solution (1x)","CF, BF",1.00,30.0,3.0,10.0,"Y","Y","S-CL","Erythritol, Monk Fruit","1:1","Powerful cold mouth feel, sugary","Inhibits oral bacteria (cavity free)","APP","APP","APP","Pentahydroxy birch sugar polyol"
"Erythritol","Fermentation polyol","E968","SWE","Zero-cal bulk","Taste rounded","Tetrahydric sugar polyol bulk (0.7x)","BV, CF",1.00,30.0,2.5,10.0,"Y","Y","CL","Allulose, Monk Fruit","1:1.2","Intense cold cooling, trace sweet","Soluble in cold water systems","APP","APP","APP","Yeast fermented tetrahydric polyol"
"Sorbitol","Glucitol","E420i","SWE","Humectant","Bulking sweetener","Hexahydric polyol water binder (0.6x)","BF, SA",1.00,35.0,3.0,10.0,"Y","Y","S-CL","Glycerin, Native Tapioca Starch","1:1.1","Mild sweet, viscous body feel","Excellent plasticity for chewing gum","APP","APP","APP","Primary hydrogenated glucose polyol"
"Sorbitol Syrup","Liquid sorbitol","E420ii","SWE","Humectant","Crystallization aid","Concentrated liquid water binding","BF, SA",1.00,40.0,3.0,10.0,"Y","Y","S-CL","Agave Nectar, Tapioca Syrup","1:1.2","Sweet syrup viscosity, heavy feel","Prevents surface moisture cracking","APP","APP","APP","Partially hydrogenated starch syrup"
"Mannitol","Manna sugar","E421","SWE","Dusting agent","Anticaking agent","Low hygroscopicity crystalline polyol","CF, BF",1.00,20.0,3.0,10.0,"Y","Y","S-CL","Rice Flour, Corn Starch","1:1","Mild dry sweetness, zero stickiness","Absorbs very little moisture","APP","APP","APP","Hydrogenated fructose polyol isomer"
"Advantame","Ultra aspartame","E969","SWE","Sweetening","Flavor rounded","Aspartame-vanillin ester sweetness (20000x)","BV, DS",0.0001,0.002,3.0,8.0,"Y","Y","N-CL","Thaumatin, Monk Fruit","1:15","Clean sweet, trace vanilla mouthfeel","Highly resistant to pasteurization","APP","APP","APP","Ultra-intensity synthetic sweetener"
"Ascorbic Acid","Vitamin C","E300","ANT","Oxygen scavenger","Dough conditioner","Oxidizes to dehydroascorbic acid","BV, BF",0.01,0.20,2.5,6.0,"M","Y","CL","Acerola Extract, Rosehip","1:3","Citrus sourness, tart taste","Sensitive to light and oxygen","APP","APP","APP","Pure synthetic L-ascorbic acid"
"Sodium Ascorbate","Ascorbate sodium","E301","ANT","Oxygen scavenger","Cure accelerator","Highly soluble electron donor","MT, BV",0.01,0.20,3.5,7.0,"M","Y","CL","Acerola Powder, Cherry Extract","1:2.8","Mild salty trace, non-acid sour","Excellent for curing processing","APP","APP","APP","Sodium salt of ascorbic acid"
"Calcium Ascorbate","Ascorbate calcium","E302","ANT","Retort stabilizer","Mineral source","Divalent oxygen reduction active","DY, BF",0.01,0.20,3.5,7.0,"M","Y","CL","Acerola Powder, Yeast Glycan","1:2.8","Chalky flavor, dairy trace note","Provides calcium ions to matrices","APP","APP","APP","Calcium salt of ascorbic acid"
"Ascorbyl Palmitate","Palmitoyl ascorbate","E304i","ANT","Lipid stabilizer","Synergist","Fat-soluble ester terminates radical","Oils, BF",0.005,0.020,3.0,7.5,"Y","Y","S-CL","Mixed Tocopherols, Rosemary Extract","1:1","Oily taste, fatty mouth coating","Melt in hot oil first (>75C)","APP","APP","APP","Palm oil-derived fat-soluble ester"
"Ascorbyl Stearate","Stearoyl ascorbate","E304ii","ANT","Fat protector","Emulsifier","Fat-soluble free-radical scavenger","Oils, BF",0.005,0.020,3.0,7.5,"Y","Y","S-CL","Tocopherols, Rice Bran Blend","1:1","Oily flavor, trace waxy coating","Soluble in animal fats, shortenings","APP","APP","APP","Stearic acid-ascorbic acid ester"
"Tocopherol Extract","Mixed tocopherols","E306","ANT","Lipid protector","None","Phenolic hydrogen donor terminates radical","Oils, SN",0.01,0.05,3.0,8.5,"Y","Y","CL","Rosemary Extract, Green Tea Extract","1:1.2","Mild vegetable oil aroma","Sensitive to extreme direct sunlight","APP","APP","APP","Concentrated natural mixed tocopherol"
"Alpha-Tocopherol","Vitamin E active","E307","ANT","Lipid protector","None","Purified phenolic radical scavenger","Oils, BF",0.01,0.05,3.0,8.5,"Y","Y","S-CL","Mixed Tocopherols, Sage Extract","1:1","Clean vegetable oil aroma","High biological vitamin E activity","APP","APP","APP","Synthetic d-alpha-tocopherol active"
"Gamma-Tocopherol","Gamma vitamin E","E308","ANT","Lipid protector","None","High-efficiency lipid radical trap","Oils, SN",0.01,0.05,3.0,8.5,"Y","Y","S-CL","Mixed Tocopherols, Grape Seed","1:1","Oily taste, neutral profile","Superior antioxidant efficacy in oil","APP","APP","APP","Purified synthetic gamma-tocopherol"
"Delta-Tocopherol","Delta vitamin E","E309","ANT","Lipid protector","None","Maximum stability lipid radical trap","Oils, SN",0.01,0.05,3.0,8.5,"Y","Y","S-CL","Mixed Tocopherols, Rosemary Extract","1:1","Oily mouth coating, warm note","Highly resistant to thermal baking","APP","APP","APP","Highly efficient delta-tocopherol active"
"Propyl Gallate","Gallate propyl ester","E310","ANT","Fat protector","None","Phenolic hydrogen donor to lipid rad","Oils, MT",0.005,0.020,3.0,8.0,"M","Y","N-CL","Mixed Tocopherols, Rosemary Extract","1:3","Bitter, synthetic chemical notes","May complex with iron to turn blue","APP","APP","APP","Synthetic aromatic trihydroxybenzoate"
"Octyl Gallate","Gallate octyl ester","E311","ANT","Fat protector","None","Hydrophobic phenolic hydrogen donor","Oils, MT",0.005,0.020,3.0,8.0,"M","Y","N-CL","Tocopherols, Carnosic Acid","1:2.8","Bitter flavor, waxy mouthfeel","Exceptional solubility in animal fat","APP","APP","APP","Fat-soluble octyl gallic ester"
"Dodecyl Gallate","Gallate lauryl ester","E312","ANT","Fat protector","None","High-hydrophobicity radical trap","Oils, MT",0.005,0.020,3.0,8.0,"M","Y","N-CL","Tocopherols, Rosemary Extract","1:2.5","Waxy flavor, lingering oil taste","Melt into warm fat prior to frying","APP","APP","APP","Fat-soluble dodecyl gallic ester"
"Guaiac Resin","Gum guaiacum","E314","ANT","Lipid protector","None","Natural phenolic compound hydrogen donor","Oils",0.01,0.10,4.0,8.0,"Y","Y","CL","Mixed Tocopherols, Sage Extract","1:1.5","Balsamic aroma, lingering wood note","Soluble in alcohol and hot fats","APP","APP","APP","Natural tree-derived phenolic resin"
"Erythorbic Acid","Isoascorbic acid","E315","ANT","Oxygen scavenger","Color stabilizer","Enantiomer of ascorbic acid sweeps oxygen","MT, BV",0.01,0.20,2.5,6.0,"M","Y","CL","Acerola Cherry Powder, Vitamin C","1:3","Mild acid sourness, tart notes","Highly sensitive to iron contamination","APP","APP","APP","Synthetic isomer of ascorbic acid"
"Sodium Erythorbate","Isoascorbate sodium","E316","ANT","Oxygen scavenger","Cure accelerator","Highly soluble isoascorbate active","MT, SA",0.01,0.20,3.5,7.0,"M","Y","CL","Acerola Powder, Lemon Juice","1:2.8","Salty taste, non-acidic profile","Accelerates nitric oxide cure speed","APP","APP","APP","Soluble sodium salt of erythorbate"
"TBHQ","Hydroquinone active","E319","ANT","Frying oil protector","None","Highly efficient phenolic radical trap","Oils, SN",0.005,0.020,3.0,8.0,"Y","Y","N-CL","Rosemary Extract, Mixed Tocopherols","1:3.5","Trace chemical bitter note","Excellent carry-through in frying","APP","APP","APP","Monohydric synthetic antioxidant"
"BHA","Butylated anisole","E320","ANT","Fat stabilizer","None","Sterically hindered phenolic radical trap","Oils, SN",0.005,0.020,3.0,9.0,"Y","Y","N-CL","Rosemary Extract, Mixed Tocopherols","1:3","Heavy chemical, trace bitter note","Under US FDA safety review in 2026","APP","APP","APP","Volatile synthetic antioxidant"
"BHT","Butylated toluene","E321","ANT","Fat stabilizer","None","Hindered radical trap prevents peroxides","Oils, SN",0.005,0.020,3.0,9.0,"Y","Y","N-CL","Mixed Tocopherols, Sage Extract","1:3.5","Sharp synthetic chemical profile","High heat stability; may volatilize","APP","APP","APP","Crystallized synthetic antioxidant"
"Calcium Disodium EDTA","EDTA","E385","ANT","Metal chelator","Color stabilizer","Octahedral coordination cage holds metal","SA, BV",0.005,0.015,2.5,9.0,"Y","Y","N-CL","Phytic Acid, Citric Acid","1:4","Chemical saltiness, metallic trace","Stops transition metals from oxidation","APP","APP","APP","Hexadentate chelating agent compound"
"Glutamic Acid","Free glutamate","E620","FLV","Umami enhancer","Salty taste booster","Activates dimeric umami taste receptors","SN, SA",0.10,0.80,3.0,8.0,"Y","Y","N-CL","Yeast Extract, Onion","1:2","Savoury, brothy trace, background sour","Neutralize to pH 6.5 for maximum flavor","APP","APP","APP","Alpha-amino acid umami precursor"
"MSG","Monosodium glutamate","E621","FLV","Umami enhancer","Salty taste booster","Activates T1R1+T1R3 receptor cascade","SN, SA",0.10,0.80,3.0,8.0,"Y","Y","N-CL","Yeast Extract, Onion","1:1.5","Savoury umami mouthfeel, salivation","High physical thermal and pH stability","APP","APP","APP","Primary sodium salt of glutamic acid"
"MPG","Monopotassium glutamate","E622","FLV","Umami enhancer","Salty taste booster","Stimulates T1R1+T1R3 umami sensors","SN, SA",0.10,0.80,3.0,8.0,"Y","Y","N-CL","High-Glutamate Yeast, Allium Juice","1:1.5","Savoury sweet, metallic potassium","Formulates low-sodium savory foods","APP","APP","APP","Potassium salt of glutamic acid"
"Calcium Glutamate","Glutamate calcium","E623","FLV","Umami enhancer","Salty taste booster","Coordinates sweet-savoury sensors","SN, SA",0.10,0.80,3.0,8.0,"Y","Y","N-CL","Yeast Extract, Sea Salt","1:1.5","Savoury trace, bitter chalky feel","Adds calcium ions to savory mix","APP","APP","APP","Calcium salt of glutamic acid"
"Ammonium Glutamate","Glutamate ammonium","E624","FLV","Umami enhancer","Salty taste booster","Activates umami, releases ammonia","BF, SN",0.10,0.80,3.0,8.0,"N","Y","N-CL","Yeast Glycan, Onion Extract","1:1.8","Savoury, sharp alkaline vapor smell","Escapes as gas under baking heat","APP","APP","APP","Ammonium salt of glutamic acid"
"Magnesium Glutamate","Glutamate magnesium","E625","FLV","Umami enhancer","Salty taste booster","Stimulates umami, metallic mineral tone","SN, SA",0.10,0.80,3.0,8.0,"Y","Y","N-CL","Yeast Extract, Mixed Peptides","1:1.5","Savoury sweet, trace bitter metallic","Formulates mineral savory blends","APP","APP","APP","Magnesium salt of glutamic acid"
"Guanylic Acid","GMP active acid","E626","FLV","Receptor sensitizer","Salty taste booster","Modifies T1R1 sweet-savoury sensors","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract, Yeast","1:10","Savoury, broth-like sweet taste","Prone to enzyme phosphatase decay","APP","APP","APP","Nucleic acid-derived umami enhancer"
"Disodium Guanylate","GMP sodium","E627","FLV","Receptor sensitizer","Salty taste booster","Synergizes with MSG to multiply signal","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract, Mushroom","1:8","Earthy, mushroom-like deep umami","Fully soluble in hot water matrices","APP","APP","APP","Primary sodium salt of GMP active"
"Dipotassium Guanylate","GMP potassium","E628","FLV","Receptor sensitizer","Salty taste booster","Synergizes with glutamate active","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","High-Nucleotide Yeast, Garlic Juice","1:8","Deep savoury, metallic potassium note","Perfect for potassic low-sodium diets","APP","APP","APP","Potassium salt of GMP active"
"Calcium Guanylate","GMP calcium","E629","FLV","Receptor sensitizer","Salty taste booster","Synergizes, complexes protein chains","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","High-Nucleotide Yeast, Sea Salt","1:8","Earthy sweet savoury, chalky mineral","Prone to precipitation in hard water","APP","APP","APP","Calcium salt of GMP active"
"Inosilic Acid","IMP active acid","E630","FLV","Receptor sensitizer","Salty taste booster","Modifies umami receptor configuration","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract, Yeast","1:10","Savoury, meaty brothy taste profile","Keep dry under low water activity","APP","APP","APP","Meat/fermented nucleic acid active"
"Disodium Inosinate","IMP sodium","E631","FLV","Receptor sensitizer","Salty taste booster","Multiplies glutamate umami by 5--8x","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract, Kelp","1:8","Rich meat-like brothy mouthfeel","Prone to degradation by raw enzymes","APP","APP","APP","Primary sodium salt of IMP active"
"Dipotassium Inosinate","IMP potassium","E632","FLV","Receptor sensitizer","Salty taste booster","Synergizes, low sodium flavor active","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","High-Nucleotide Yeast, Onion Juice","1:8","Meaty sweet, metallic potassium trace","Formulates potassic low-sodium meats","APP","APP","APP","Potassium salt of IMP active"
"Calcium Inosinate","IMP calcium","E633","FLV","Receptor sensitizer","Salty taste booster","Synergizes, complexes proteins","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract, Kelp","1:8","Rich meaty, trace chalky mineral feel","Forms insoluble calcium complex","APP","APP","APP","Calcium salt of IMP active"
"Calcium Ribonucleotide","Calcium I+G","E634","FLV","Receptor sensitizer","Salty taste booster","Max synergy, complexes protein flow","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract","1:12","Savoury, meaty, chalky mineral notes","Requires inactivation of phosphatases","APP","APP","APP","Calcium salt of co-crystallized I+G"
"Disodium Ribonucleotide","Disodium I+G","E635","FLV","Receptor sensitizer","Salty taste booster","Max synergy, multiples umami sensory","SN, SA",0.005,0.050,3.5,8.5,"Y","Y","N-CL","Yeast Extract","1:10","Dense, highly savory broth mouthfeel","Industrial standard flavor multiplier","APP","APP","APP","Sodium salt of co-crystallized I+G"
"Maltol","Larch bark extract","E636","FLV","Flavor enhancer","Sweetness enhancer","Modifies sweet-aromatic sensors","CF, BV",0.005,0.050,3.0,8.0,"Y","Y","CL","Maple Syrup, Vanilla Extract","1:1.5","Fruity, cotton-candy sweet notes","Synergizes with vanillin and sugars","APP","APP","APP","Natural bark-derived cyclic ketone"
"Ethyl Maltol","Synthetic maltol","E637","FLV","Flavor enhancer","Sweetness enhancer","Multiplies sweet-aromatic signals","CF, BV",0.005,0.050,3.0,8.0,"Y","Y","N-CL","Maltol, Caramel Sugar","1:1.5","Sweet, jam-like fruity cotton-candy","4--6x more powerful than maltol","APP","APP","APP","Synthetic cyclic ethyl-ketone active"
